"id","nombre","barrio","latitud","longitud","tipo_propiedad","capacidad","banos","bano_compartido","dormitorios","camas","precio","noches_minimas","noches_maximas","disponible","disponibilidad_30","disponibilidad_60","disponibilidad_90","disponibilidad_365","n_reviews","n_reviews_u30d","puntuacion_reviews_general","puntuacion_reviews_precision","puntuacion_reviews_limpieza","puntuacion_reviews_checkin","puntuacion_reviews_comunicacion","puntuacion_reviews_localizacion","puntuacion_reviews_valor"
4865084,"Rental unit in Barcelona · ★4.11 · 1 bedroom · 1 bed · 1.5 shared baths","Ciutat Vella",41,2,"Private room",2,1,TRUE,1,1,79,2,1125,TRUE,22,52,82,172,9,2,4,4,4,4,4,4,4
5053322,"Rental unit in Barcelona · ★4.65 · 6 bedrooms · 14 beds · 3.5 baths","Eixample",41,2,"Entire home/apt",15,3,FALSE,6,14,450,6,300,TRUE,0,0,12,216,114,0,4,4,4,4,4,4,4
4486999,"Serviced apartment in Barcelona · ★5.0 · 2 bedrooms · 2 beds · 2 baths","Eixample",41,2,"Entire home/apt",4,2,FALSE,2,2,386,3,30,TRUE,6,15,45,304,63,1,5,4,4,4,5,5,4
5053669,"Rental unit in Barcelona · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths","Ciutat Vella",41,2,"Private room",2,1,TRUE,2,1,55,32,32,TRUE,0,2,23,97,241,1,4,4,4,4,4,4,4
5064035,"Rental unit in Barcelona · ★4.38 · 2 bedrooms · 4 beds · 1.5 baths","Gràcia",41,2,"Entire home/apt",6,1,FALSE,2,4,236,3,1125,TRUE,6,22,48,296,74,0,4,4,4,4,4,4,4
5064651,"Rental unit in Barcelona · ★5.0 · 1 bedroom · 1 bed · 2 baths","Eixample",41,2,"Private room",1,2,FALSE,2,1,50,1,1125,TRUE,0,0,0,0,10,0,5,4,5,5,5,4,5
4879700,"Rental unit in Barcelona · ★4.85 · 3 bedrooms · 5 beds · 2 baths","Sants-Montjuïc",41,2,"Entire home/apt",6,2,FALSE,3,5,181,6,56,TRUE,1,1,1,78,186,3,4,4,4,4,4,4,4
4886587,"Rental unit in Barcelona · ★4.46 · 5 bedrooms · 8 beds · 2 baths","Eixample",41,2,"Entire home/apt",10,2,FALSE,5,8,335,3,1120,TRUE,4,8,38,107,103,1,4,4,4,4,4,4,4
4901235,"Rental unit in Barcelona · ★4.48 · 1 bedroom · 1 bed · 1 bath","Ciutat Vella",41,2,"Private room",2,1,FALSE,2,1,35,3,90,TRUE,0,0,0,0,31,0,4,4,4,4,4,4,4
4497787,"Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath","Sants-Montjuïc",41,2,"Private room",2,1,FALSE,2,1,50,1,1125,FALSE,0,0,0,0,0,0,4,4,4,4,4,4,4
4904743,"Rental unit in Barcelona · ★4.83 · 2 bedrooms · 4 beds · 2 baths","Les Corts",41,2,"Entire home/apt",4,2,FALSE,2,4,180,3,1125,TRUE,2,8,30,203,301,1,4,4,4,4,4,4,4
4907750,"Loft in Barcelona · ★4.26 · 1 bedroom · 1 bed · 1 bath","Sant Martí",41,2,"Entire home/apt",2,1,FALSE,1,1,140,28,80,TRUE,1,1,20,110,42,0,4,4,4,4,4,4,4
5068892,"Rental unit in Barcelona · ★4.75 · 1 bedroom · 2 beds · 1 bath","Eixample",41,2,"Entire home/apt",2,1,FALSE,1,2,250,1,1125,TRUE,5,35,65,340,4,0,4,5,5,5,4,4,4
5072622,"Rental unit in Barcelona · ★4.49 · 2 bedrooms · 3 beds · 1.5 baths","Eixample",41,2,"Entire home/apt",4,1,FALSE,2,3,149,3,1125,TRUE,2,2,15,177,131,3,4,4,4,4,4,4,4
4510598,"Rental unit in Barcelona · ★4.91 · 3 bedrooms · 6 beds · 1 bath","Sants-Montjuïc",41,2,"Entire home/apt",6,1,FALSE,3,6,136,1,180,TRUE,5,24,39,314,373,4,4,4,4,4,4,4,4
5084437,"Rental unit in Barcelona · ★4.60 · 2 bedrooms · 2 beds · 1 bath","Ciutat Vella",41,2,"Entire home/apt",3,1,FALSE,2,2,70,31,1125,FALSE,0,0,0,0,10,0,4,4,5,4,4,4,4
5087833,"Rental unit in Barcelona · ★3.86 · 2 bedrooms · 1 bed · 1 bath","Eixample",41,2,"Private room",2,1,FALSE,2,1,40,2,30,TRUE,0,0,0,0,8,0,3,4,4,4,5,4,4
5093591,"Rental unit in Barcelona · ★4.57 · 3 bedrooms · 5 beds · 1 bath","Eixample",41,2,"Entire home/apt",5,1,FALSE,3,5,130,2,1125,TRUE,4,9,39,122,270,3,4,4,4,4,4,4,4
4911075,"Rental unit in Barcelona · ★4.72 · 1 bedroom · 2 beds · 1 bath","Eixample",41,2,"Entire home/apt",2,1,FALSE,1,2,149,3,180,TRUE,4,22,50,139,141,4,4,4,4,4,4,4,4
4912693,"Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath","Eixample",41,2,"Private room",2,1,FALSE,2,1,60,1,1125,TRUE,0,0,0,0,0,0,4,4,4,4,4,4,4
4914558,"Rental unit in Barcelona · ★4.52 · Studio · 2 beds · 1 bath","Gràcia",41,2,"Entire home/apt",4,1,FALSE,2,2,179,1,1125,TRUE,11,39,69,248,293,1,4,4,4,4,4,4,4
4524409,"Rental unit in Barcelona · ★4.22 · 1 bedroom · 1 bed · 1 shared bath","Eixample",41,2,"Private room",1,1,TRUE,2,1,53,2,4,TRUE,11,35,65,65,90,0,4,4,4,4,4,4,4
4921267,"Rental unit in Barcelona · ★4.74 · 3 bedrooms · 3 beds · 2 baths","Eixample",41,2,"Entire home/apt",8,2,FALSE,3,3,400,1,30,TRUE,23,48,78,353,87,0,4,4,4,4,4,4,4
5097014,"Rental unit in Barcelona · ★4.74 · 2 bedrooms · 3 beds · 1 bath","Eixample",41,2,"Entire home/apt",4,1,FALSE,2,3,263,4,7,TRUE,0,6,15,160,318,5,4,4,4,4,4,4,4
5101904,"Rental unit in Barcelona · ★4.82 · 2 bedrooms · 3 beds · 1 bath","Eixample",41,2,"Entire home/apt",4,1,FALSE,2,3,255,4,7,TRUE,6,11,29,191,357,6,4,4,4,4,4,4,4
4528856,"Rental unit in Barcelona · ★4.51 · 1 bedroom · 2 beds · 1 bath","Sant Martí",41,2,"Entire home/apt",3,1,FALSE,1,2,159,4,1125,TRUE,1,4,34,214,214,3,4,4,4,4,4,4,4
5112386,"Rental unit in Barcelona · ★3.67 · 3 bedrooms · 5 beds · 2 baths","Sants-Montjuïc",41,2,"Entire home/apt",8,2,FALSE,3,5,107,3,1125,TRUE,19,39,69,103,10,0,3,4,4,3,3,4,3
4529852,"Rental unit in Barcelona · ★4.44 · 3 bedrooms · 3 beds · 1 bath","Eixample",41,2,"Entire home/apt",5,1,FALSE,3,3,161,3,1125,TRUE,13,35,65,340,102,0,4,4,4,4,4,4,4
